"movie_id","movie_title","original_language","overview","production_countries","year_released"
"heroes-in-blue","Heroes in Blue","en","Family heartbreak: A dedicated New York City policeman raises two sons, one following in his dad's footsteps as a cop while the other turns to crime and is arrested for murder.","[""United States of America""]","1939"
"the-report","The Report","fa","The movie revolves around the life of a tax collector who is accused of taking bribes, and also has to deal with problems at home, including the suicide attempt of his wife.","[""Iran""]","1977"
"the-promise-1979","The Promise","en","A rich student's fiancee has her face destroyed by a car accident, and refuses to return to him fearing the loss of his love.","[""United States of America""]","1979"
"homecoming-1984","Homecoming","cn","Coral, a Hong Kong woman tortured by city life, went back to her home town to visit her two old friends. They all found that some precious things in life which disappear through the years could never be recovered.","[""Hong Kong""]","1984"
"my-lucky-star-2012","My Lucky Star","fr","In Normandy, Louise lives happily in the horse world. Suddenly, fate strikes. Louise left alone with his father and a family friend to Ferronnière the stud where she has always lived. Business is bad, they are on the verge of bankruptcy ... Fortunately there Marquise, a young mare Louise high. Against all odds, the girl and Marquise will fight against the fate that seems hell-bent ...","[""France""]","2012"
"a-criminal-is-born","A Criminal Is Born","en","An entry in MGM's Crime Does Not Pay series, this short tells the true story of how a young man, ignored by his parents, gets into a gang and starts a crime spree which leads to murder.","[""United States of America""]","1938"
"blackfeet-boxing-not-invisible","Blackfeet Boxing: Not Invisible","en","As the epidemic of missing and murdered Indigenous women epidemic affects tribal communities, a group of Blackfeet women tackle the threat head-on by practicing and training in self-defense.","[]","2020"
"soulmates","Soulmates","en","A fledgling couples therapist must rely upon his shoddy couples therapy skills in order to survive a blind date with a crazy old witch.","[]","2008"
"el-ceniciento-1952","El Ceniciento","es","Valentin reaches Mexico City to stay with his countrymen Marcelo and Sirenia,  parents of thirteen  children. Marcelo  gladly serves Valentin until he realizes that he is poor and throws him out of the house. By a suggestion Sirenia, Marcelo employs Valentin as a servant and exploits it mercilessly. But with the help of Andres, the fate of Valentin takes an unexpected turn.","[""Mexico""]","1952"
"the-painter-of-jalouzi","The Painter of Jalouzi","ht","The film tells the story of one citizen from Jalouzi, one of the largest slums in Haiti, who is determined to bring color to the impoverished area by helping paint the entire town, literally.  Believing that color has the power to transform his community, he’s helping to paint everywhere – on houses, on buses, and the entire hillside. Armed with brushes of bright blues, pastel pinks, and sunshine yellows, he’s helping to mobilize citizens of all ages, determined to turn the grey town into a rainbow full of color to lead the way to a brighter Haiti.","[""United States of America""]","2015"
"first-time-2","First Time","en","Kim Hongsoo is a popular screenwriter for soap operas, and Jeong Daeman is a talented writer that Hongsoo wants to work with. Hongsoo invites Daeman one day to his office and asks about the piece he is writing. Although it is still afternoon, they drink whiskey and talk about screenwriting. Suddenly, Hongsoo says, ""I want to build a future with you.""","[""South Korea""]","null"
"concussion","Concussion","en","After a blow to the head, Abby decides she can't do it anymore. Her life just can't be only about the house, the kids and the wife. She needs more: she needs to be Eleanor.","[""United States of America""]","2013"
"chotard-et-cie","Chotard et Cie","fr","François Chotard, wholesale grocer, gives his daughter in marriage to Julien Collinet, a writer who prefers dreaming to working, a situation conducive to quarrels between the son and the father- in-law. Until the day when Julien receives the Prix Goncourt, prestigious literary award. Chotard has a sudden change of heart.","[""France""]","1933"
"femme-2018","Femme","en","Rejected for being femme, Carson journeys toward self-acceptance by way of a manic existential crisis and a drag queen fairy godmother.","[]","2018"
"on-the-brides-side","On the Bride’s Side","it","A Palestinian poet and an Italian journalist meet five Palestinians and Syrians in Milan who entered Europe via the Italian island of Lampedusa after fleeing the war in Syria. They decide to help them complete their journey to Sweden, and hopefully avoid getting themselves arrested as traffickers, by faking a wedding. With a Palestinian friend dressed up as the bride and a dozen or so Italian and Syrian friends as wedding guests, they cross halfway over Europe on a four-day journey of three thousand kilometres.","[""Palestinian Territory"",""Italy""]","2014"
"the-great-hunter","The Great Hunter","zh","Wang Yu plays a military captain who forms a bond with orphaned Chia Ling. Together they comb the Taiwanese countryside in search of the person or persons who murdered Chia's father.","[""Taiwan""]","1975"
"badland-2019","Badland","en","Detective Matthias Breecher, hired to track down the worst of the Confederate war criminals, roams the Old West seeking justice. His resolve is tested when he meets a determined pioneer woman who is far more than she seems.","[""United States of America""]","2019"
"a-fugue","A Fugue","en","A space occupies it, awaiting to be unlocked by a freeing action or notion. What lies ahead is its determination.","[""United Kingdom""]","2019"
"grace-2016","Grace","th","Apinya Sakuljaroensuk stars as a faded Internet idol who becomes upset at being unseated by a new schoolgirl star (Napasasi Surawan). She decides to teach the naive upstart a lesson in cruelty. Pun Homcheun and Onusa Donsawai direct, adapting a short film of the same name.","[""Thailand""]","2016"
"the-sound-collector","The Sound Collector","en","This animated short features Leonard, a 6-year-old boy with the unusual hobby of collecting sounds. Transforming household noises around him into exciting fantasies, he creates an adventure story for his older brother in which knights chase away monsters and perform other daring deeds.","[]","1982"
"deathstalker-and-the-warriors-from-hell","Deathstalker and the Warriors from Hell","en","The third thrilling saga of Deathstalker pits him against the evil wizard and ruler of the Southland, Troxartes, and his band of undead warriors. Dashing Deathstalker is entrusted by the beautiful Princess Carissa to protect an enchanted Jewel one of three which together hold the key to the lost city of treasure, Erendor. The missing pair of gems are stashed all too safely in the heavily guarded castle of the wicked Troxartes. His mission clear, Deathstalker rouses his troops and storms the fortress with the power of lightning. And in this fateful battle, one man will survive to witness the magical secrets of Erendor.","[""United States of America"",""Mexico""]","1988"
"pedro-infante-vive","Pedro infante vive?","en","Reporter/photographer covering a Pedro Infante commemorative event discover an uncanny look-alike lurking on the periphery.","[]","1991"
"heavy-metal-parking-lot","Heavy Metal Parking Lot","en","Heavy Metal Parking Lot documents heavy metal music fans tailgating in the parking lot outside the Capital Centre (since demolished) in Landover, Maryland, on May 31, 1986, before a Judas Priest concert (with opening act Dokken).","[""United States of America""]","1986"
"zombie-killers-elephants-graveyard","Zombie Killers: Elephant's Graveyard","en","A young militia is all that stands between a coming dead horde and their rural town decimated by the fracking industry.","[""United States of America""]","2015"
"the-shot-in-the-talker-studio","The Shot in the Talker Studio","de","During the shooting of a jealousy scene on a soundstage, one actress is murdered. Due to the fact that the male star of the movie had a relation with the victim and the female star is now his fiance, he is suspected by the police.","[""Germany""]","1930"
"fast-romance","Fast Romance","en","The interweaving stories of seven very different people in the cosmopolitan city of Glasgow who decide that, in their pursuit of love, it is time to try something new. Little do they know that after one night of speed dating their lives will take dramatic new twists - and we'll be there to witness each and every one of them.","[]","2011"
"day-of-the-idiots","Day of the Idiots","de","A woman experiences psychic disintegration and ends up in a psychiatric hospital.","[""Germany""]","1981"
"pop-2018","Pop","en","Renee is a slacker, stoner and a hoarder obsessed with popping her zits - until the zits start popping back.","[]","2018"
"divorce-french-style","Divorce French Style","fr","Ariane, a young French violinist, accepts the marriage proposal of Christen, an irresistible conductor. Only problem: she's a little bit ... married! Separated for two years with Nino, an Italian teacher with a strong character, she manages to convince him to follow her to Paris to divorce in 8 days flat. But their trip in the city of love looks much more eventful than expected...","[""France""]","2014"
"nuxalk-radio","Nuxalk Radio","en","A day in the life of 91.1, Nuxalk Radio, a radio station built to help keep the Nuxalkmc language alive while broadcasting the laws of the lands and waters.","[]","2020"
"hello-hello-terezinha","Hello, Hello, Terezinha!","pt","Hello, Hello, Terezinha! is a feature-length documentary about the country's biggest communication phenomenon. Politically incorrect, radical, renewing, Chacrinha changed Brazilian television forever and expressed a Brazil that was around it, but was not perceived. The film tells the great adventure of Abelardo Barbosa through the eyes of the presenter. It gathers the nuclei of its constellation - chacretes, fledglings and artists who passed through its programs - to identify their individualities and their emotions.","[""Brazil""]","2009"
"the-fan-and-the-flower","The Fan and the Flower","en","A narrator tells us the story of a ceiling fan, ensconced in the spare room of a house occupied by an old woman. The fan is lonely, and its life takes a turn for the better when the old woman puts a flowering plant in the spare room. A romance develops between fan and flower, until the old woman's decrepitude puts one of the lovers' life at risk. The fan must act.","[""United States of America""]","2005"
"covid-obsession","COVID Obsession","it","A journey hallucinated into forced isolation in the days of COVID-19. 17 people and 4 cats shot for 5 weeks, exploring the decay of a completely disrupted society. Only cinema (maybe?) will save us.","[""Italy""]","2020"
"the-citizen","The Citizen","en","Yearning to leave behind his life of misfortune in the Middle East, Ibrahim Jarrah wins the U.S. Green Card Lottery for a chance to become an American citizen. Ibrahim lands in New York City the day before 9/11…and the events of the September terrorist attacks forever shape the struggles he faces on his journey to capture the American dream.","[""United States of America""]","2012"
"banjo-on-my-knee","Banjo on My Knee","en","A young husband leaves his river shantyboat community in Pecan Point, Tennessee and travels to New Orleans in search of his runaway wife.","[""United States of America""]","1936"
"excavating-the-2000-year-old-man","Excavating the 2000 Year Old Man","en","A brief look at Mel Brooks and Carl Reiner's 2,000 Year Old Man routine and how it influenced countless comedians since its inception.","[]","2012"
"concrete-clouds","Concrete Clouds","en","“The age of dejection.” This is how Director Lee Chatametikool remembers Thailand in 1997. Concrete Cloud is a film that tells us about the young men who survived an era of financial crisis. Mutt, who is working as a stockbroker in the United States, must suddenly return home when his father commits suicide. After the funeral, he runs into his old girlfriend, Sai. Meanwhile his younger brother Nic falls in love with Poupee, a schoolmate and neighbor. None of the relationships come easy, however. Each is harboring a secret and there is a big gap between dreams and reality. What links them together are memories—but memories alone cannot hold their relationships together in the face of harsh realities. As the characters in the film remember their pasts, the director ruminates on his own recollections of 1997, hence the scenes reminiscent of a ’90s music video. Overall, this film is really about time.","[""China"",""Hong Kong"",""Thailand""]","2013"
"whistle-if-you-come-back","Whistle If You Come Back","tr","A dwarf and a travesty, both are excluded from the society and doomed to exist at night. Their lives overlap in a strange encounter and this becomes the start of their friendship.","[]","1993"
"asih","Asih","id","Years after a woman tragically takes her own life and drowns her baby, a couple expecting a child finds themselves terrorized by a sinister ghost.","[""Indonesia""]","2018"
"lake-placid-serenade","Lake Placid Serenade","en","On a peaceful, pre-war winter in Czechoslovakia, the genial godfather, Jaroslav Haschek, of Vera Hascheck, presents the young girl with her first pair of ice skates. Soon, she astonished the warm-hearted people of her village with her skill, and she is acclaimed a marvel-on-ice.","[""United States of America""]","1944"
"stuck-2007","Stuck","en","A young woman commits a hit-and-run, then finds her fate tied to her victim.","[""Canada"",""Germany"",""United Kingdom"",""United States of America""]","2007"
"panoramic-view-waikiki-from-an-electric-car-hawaiian-islands","Panoramic View, Waikiki from an Electric Car, Hawaiian Islands","en","A view of Waikiki in 1906.","[]","1906"
"dust-2017","Dust","en","Isaac begins the process of gender re-assignment while his younger brother Logan must deal with a new sister and the grief of losing his older brother.","[]","2017"
"hottieboombalottie","HottieBoombaLottie","en","Cheerfully clueless and unexpectedly charming Ethan attempts to win the heart of high school hottie Madison Sweet, only to find himself in competition with his own brother.","[]","2008"
"carvers-gate","Carver's Gate","en","The world is a bleak desolate place where the people live in elevated cities. As the ground is uninhabitable, the citizens spend most of their lives wasting their time in virtual reality. Carver is a dream-breaker whose job is to enter the world of VR and fix what is wrong. And what is wrong is that his gal pal Dinah has been murdered in VR which should not be possible. But Carver soon finds that Dinah has constructed a transducer which allows people to enter VR without other equipment, but creates a rift. That rift causes people to enter VR, but also allows the creatures from the game to enter the real world.","[""Canada""]","1996"
"touching-the-void-return-to-siula-grande","Touching the Void: Return to Siula Grande","en","The story of Joe Simpson and Simon Yates' return to the mountain of Siula Grande for the making of the film 'Touching The Void'.","[]","2004"
"ransom","Ransom","en","When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.","[""United States of America""]","1996"
"woman-on-fire","Woman on Fire","en","Woman on Fire follows Brooke Guinan, the first openly transgender firefighter in New York City. A character-driven documentary, the film follows Brooke as she sets out to challenge perceptions of what it means to be transgender in America today.","[""United States of America""]","2016"
"the-rapture-of-fe","The Rapture of Fe","en","In this metaphoric story of violence and resilience from director Alvin Yapan, Fe (Irma Adlawan) returns home to the Philippines after several years of working overseas, her job a victim of global economic shifts. Fe is initially greeted with affection by her husband Dante (Nonie Buencamino), but he has a long history of domestic violence fueled by rage and long-term impotence, and Fe quickly discovers her time away has not changed him. Dante works in a factory making baskets, and Fe soon joins him there; she becomes the lover of Arturo (T.J. Trinidad), the man who manages the basket company, but while Arturo treats her well, he's still under the thumb of his father who owns the factory. Meanwhile, an unknown admirer sends her parcels of strange black fruit on a regular basis. Torn between two men who cannot give her what she needs and wants, Fe's frustration leads to take desperate steps to establish her independence.","[""Philippines""]","2009"
"gmor-evian","G'mor Evian!","ja","""Good Morning Everyone!"" revolves around a family involved in the punk music scene.  Aki is a former guitarist for a punk band. She became pregnant and gave birth to a daughter named Hatsuki. The mother and daughter live together happily, but they do have different personalities. A man named Yagu then enters their life. He is an ex-member of the punk band that Aki played with. Yagu has feelings for Aki.","[""Japan""]","2012"
"marlene","Marlene","de","Retrospective on the career of enigmatic screen diva Marlene Dietrich.","[""Germany""]","1984"
"sea-change","Sea Change","en","A teenage girl makes a startling discovery about her connection to the Seawalkers, legendary beings who are half-human, half-sea creature.","[""United States of America""]","2017"
"a-dangerous-track","A Dangerous Track","sh","A small group of extreme Albanian nationalists are hunted by Yugoslav security services.","[""Yugoslavia""]","1984"
"eddie-duchin-orchestra","Eddie Duchin & Orchestra","en","In a nightclub setting, pianist Eddy Duchin and his orchestra play several popular tunes of the day. Sylvia Froos joins them for two songs. The novelty skating team of Earl, Jack, and Betty also perform. And the entire nightclub staff, including the orchestra, wears roller skates!","[]","1933"
"when-men-carried-clubs-and-women-played-ding-dong","When Men Carried Clubs and Women Played Ding-Dong","de","Prehistoric cave-stud Ari wins lovely virgin Listra in a pig-catching contest, but their attempts at ""Ding-Dong"" keep getting interrupted by idiot battles between his tribe, The Cave Dwellers, and their neighbors, The Lake Dwellers. Annoyed that hubby would rather make war than Ding-Dong, Listra organizes the women of both tribes to go on strike and ""abstain Ding-Dong"" until the men stop fighting. It all happens back in the days when men carried clubs and women played ding-dong, an Italian stone-age sex comedy based on the Greek classic ""Lysistrata"" and filled with shapely cavewomen sporting '70s hairstyles, a gay caveman with the hots for the hero, a title tune that will follow you forever and, of course, plenty of old-fashioned Ding-Dong!","[""Italy""]","1971"
"il-pesce-rosso","Il pesce rosso","it","Short animated film by Roberto Catani","[""Italy""]","1995"
"men-1985","Men...","de","A successful, womanizing middle-aged man decides to move out of the house he shares with his wife after she confesses to having an affair. He looks for a new place to live and ends up moving into his wife's lover's apartment as a roommate. The husband begins to take an interest in the artistic work of the lover and coaches him for a big job interview. Little does he know that the job he's helping the lover to get is within his own company... A story about strange circumstances and the limits of friendship.","[""Germany""]","1985"
"i-me-wed","I Me Wed","en","Successful thirtysomething Isabelle decides to marry herself, becoming a public sensation. But when opportunity comes knocking, will she cheat on herself to pursue what might be true love with someone else?","[""Canada""]","2007"
"the-focus-group","The Focus Group","en","Sara feels sad, lonely, and ugly. Ann has a very unusual solution.","[""United States of America""]","2016"
"a-bugs-life","A Bug's Life","en","On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.","[""United States of America""]","1998"
"jesse-james","Jesse James","en","After railroad agents forcibly evict the James family from their family farm, Jesse and Frank turn to banditry for revenge.","[""United States of America""]","1939"
"chains-1939","Chains","en","Part of BFI collection ""Tales From the Shipyard"".","[]","1939"
"the-cowboy-and-the-blonde","The Cowboy and the Blonde","en","A western rodeo rider is cast in a starring role in a new Hollywood film, but his temperamental and spoiled leading lady proves difficult to tame.","[""United States of America""]","1941"
"dead-mans-party-the-making-of-halloween-5","Dead Man's Party: The Making of Halloween 5","en","In-depth Scream Factory documentary; one that doesn't sugarcoat any aspect of the production, from its rushed beginnings to the assembling of its cast and crew, its rocky production, and the many difficulties the filmmakers encountered along the way. Interviews with producer Malek Akkad, line producer Rick Nathanson, composer Alan Howarth and actors Danielle Harris, Ellie Cornell, Wedny Kaplan, Jeffrey Landman, Jonathan Chapin, Frankie Como, Tamara Glynn, Matthew Walker and Don Shanks (the fifth film's Michael Myers) are included. - blu-ray.com","[]","2013"
"der-letzte-postillon-vom-st-gotthard","Der letzte Postillon vom St. Gotthard","de","The title means ""The last postillion (stage-coachman) of the St.Gotthard-pass"". A company of select people joins the horse-driven coach for crossing the center of the Alps over the traditional path high on the mountain valley. It is the time of railways as the means of modernization. A tunnel is going to be built. The new fast way would render useless the small transport industry from which local people had made their living. The great mountainous landscape is the background for the conflicts which arise between rich and poor, local traditionalists and foreign modernizers. The daughter of a local, who is opposed against the tunnel, would like to get engaged with a tunnel engineer, but is also coveted by a local favored by her father.","[""Switzerland""]","1941"
"stanford-university-california","Stanford University, California","en","People walking around the campus. The view shows an immense arch in the background through which are seen coming groups of students, some walking, others on bicycles. The ivy covered walls of the building form the background to a pleasing picture.","[]","1897"
"punyalan-private-limited","Punyalan Private Limited","ml","A budding entrepreneur fights social injustice in his bid to establish his new business.","[""India""]","2017"
"the-scavengers-1969","The Scavengers","en","The Scavengers Were Rotten to the Core - Thoroughly Disgusting, And Had a Serious Freudian Problem... You'll Probably Love Them","[]","1969"
"raising-heroes","Raising Heroes","en","Josh and Paul want to adopt Nickie, the child of Paul's recently deceased friend Susan. Susan's mother opposes gays' adopting, and Monday is the final court date. On Friday, Josh stops by a market for milk and glimpses a Mob hit. Unknown to him, the hitmen are now on his trail. Josh hates confrontation and doesn't tell Paul about the murder or call the cops. Instead, he takes Paul for an idyllic weekend in the Poconos. But Sunday, when they return to the city, the murderers are waiting. The Mob boss orders that both be killed. What chance do Paul, who's in the dark, and Josh, who's basically passive, have against this firepower? What will happen to Nickie without them?","[]","1996"
"the-early-70s-horror-trailer","The Early 70's Horror Trailer","en","Groovy short film homage to tripped-out early '70s horror fare.","[]","1999"
"pinto-canyon","Pinto Canyon","en","In his final Western for Poverty Row's Metropolitan Pictures, Bob Steele played Bob Hall, a lawman looking into a series of cattle rustlings. The leader of the rustlers, rancher Farley (Ted Adams), hires killer Pete Childers (George Cheseboro) to impersonate a deputy sheriff and gain Sheriff Hall's confidence.","[""United States of America""]","1940"
"the-prisoner-of-zenda-1952","The Prisoner of Zenda","en","King Rudolf V of Ruritania is suddenly abducted just days before his coronation is to take place. The king's evil brother, Prince Rupert, is behind the kidnapping plot and plans to seize the throne for himself. As the king's supporters try to find him, they stumble upon Rudolf Rassendyl, an identical distant cousin who can pose as the betrayed ruler. The plan works well until the king's fiancée, Princess Flavia, suspects foul play.","[""United States of America""]","1952"
"the-do-over","The Do-Over","en","The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.","[""United States of America""]","2016"
"yellow-the-cousins","Yellow: The Cousins","it","Following the death of her grandfather, Valentina settles with her husband Pierre, a sculptor, in the old family villa which she partly inherited (half of it belongs to her cousin Marta, who already resides there).  Co-habitation proves to be awkward:  Valentina is unscrupulous and uninhibited, while Marta is austere and virtuous - at least, on the surface.  In fact, when Valentina suddenly dies, the woman initiates a seduction which eventually coaxes Pierre into her arms.  The cosy situation soon changes when a police officer turns up to investigate Valentina's death...","[""Italy""]","1969"
"never-talk-to-strangers","Never Talk to Strangers","en","Sarah Taylor, a police psychologist, meets a mysterious and seductive young man, Tony Ramirez, and falls in love with him. As a cause of this relationship, she changes her personality when she begins to receive anonymous telephone calls.","[""United States of America"",""Canada"",""Germany""]","1995"
"the-two-college-nuts","The Two College Nuts","en","Two college boys have a flat tire. They proceed to play music on a tire, a bassoon, a balloon and an umbrella.","[""United States of America""]","1929"
"emergency-kisses","Emergency Kisses","fr","The familiar conflicts of a film director planning to make a movie about his life and the confrontation he has with his wife, an actress who was turned down for such project in which she wanted to play herself.","[""France""]","1989"
"allen-anders-live-at-the-comedy-castle-circa-1987","Allen Anders: Live at the Comedy Castle (circa 1987)","en","Found footage of Allen Anders famed 1987 performance at New York City's Comedy Castle offers a revealing window into the troubled comedian's psyche.","[]","2018"
"keylor-navas-hombre-de-fe","Keylor Navas, Hombre de Fe","es","The story of real life Costa Rican goalkeeper Keylor Navas, from his humble beginnings in his home town to his rise to greatness as an elite soccer player.","[""Costa Rica""]","2017"
"superdyke","Superdyke","en","A comedy about a troop of shield-bearing Amazons who take over city institutions before relaxing in the country. ""Superdyke"" takes women into the streets when Barbara arms of a platoon of vagina warriors with Amazon shields in an attempt to overthrow San Francisco. They march through City Hall, usurp the bus lines, demythologiz the consumer mentality at Macy's (to the recorded astonishment of casual shoppers), and wander through the erotic art museum. Barbara's frenetic handheld lens catches the startled reactions and the glee of the participants. SUPERDYKE has a home-movie quality to it, but its committed and loose moments in the playground confirm its comic rationale.","[]","1975"
"washed","Washed","en","A female laundry worker desperately attempts to abort the fruit of a violent encounter. When the consequences of her action are reveled, the memories she has repressed re-emerge.","[]","2012"
"soldiers-in-the-army-of-god","Soldiers in the Army of God","en","Connected by the Internet and an unshakable belief in their cause, a tight-knit group of extreme pro-life activists who -- all members of the Army of God -- have turned to violence to abolish abortion. This fascinating documentary examines several of the soldiers involved in the ongoing ""battle,"" including Paul Hill, the man who committed the infamous 1993 murders of two abortion clinic workers in Pensacola, Fla.","[]","2000"
"outlaw-blues","Outlaw Blues","en","An aspiring musician is released from prison to find that a song he had written while locked up has been stolen and made into a hit record by a country music superstar. When his confrontation with the star takes a violent turn the ex-con has to go back on the run, but he finds an unexpected ally in a shrewd background singer with a plan to turn the tables in his favor.","[""United States of America""]","1977"
"operation-cupcake","Operation Cupcake","en","When Army Colonel Griff Carson (Dean Cain) returns home from Germany on a two-month leave, he considers retiring if he doesn't get promoted to General. Being away on deployment has been hard on Griff, separating him from his wife Janet (Kristy Swanson) and two teenagers, Kim (Galadriel Stineman) and Ollie (Alec Gray).","[""United States of America""]","2012"
"deadly-pickup","Deadly Pickup","en","Breezy isn't your ordinary hitch-hiker: she's sexy, fun... and a cold-blooded killer. As deadly as a viper, Breezy murders her victims with a poisonous ring. As she preys on highway pickups, Breezy moves from town to town, finally settling briefly as a boarder in the house of a young couple who have no idea what kind of sexual wolf they've just let in the door.","[""United States of America""]","2016"
"this-space-between-us","This Space Between Us","en","It’s been two years since his wife’s sudden death, and once-promising young filmmaker Alex Harty has allowed both his life and career to come to a standstill. But after he assaults a Hollywood studio executive, Alex returns to his hometown of San Francisco to reconnect with old friends for a bittersweet odyssey. Even if Alex can manage to run away from his life, will the memory of his late wife drag him back into it?","[""United States of America""]","1999"
"fly-with-the-raf","Fly with the RAF","en","A short documentary of the various personnel roles, and types of aircraft used, within the RAF.","[]","1971"
"life-rescue-at-long-branch","Life Rescue at Long Branch","en","Someone is rescued after falling out of a boat.","[]","1901"
"breath-1967","Breath","en","Breath governs life and is also the sign of changes in emotion.","[""United Kingdom""]","1967"
"cattle-hill","Cattle Hill","no","Klara, a young city-calf, dreams of becoming a big star. One day she receives a letter from her father, Mosk, who wants her to visit his farm. Her mom says Mosk is a rock star, but when Clara arrives, she discovers her father is only a regular apple pie farmer.","[""Norway""]","2018"
"sulfuric","Sulfuric","en","Jennifer returns home to find her roommate unconscious. After reviving her, it becomes apparent that something is occurring inside their apartment. Something awful.","[""United States of America""]","2013"
"sultry","Sultry","pt","Rio de Janeiro, 2016: the city simmers in anticipation of the Olympic Games. Lawyer Ana defends the interests of residents of homes to be replaced by stadiums, roads and luxury hotels. Is the heat affecting her perception or is the struggle becoming visible on her skin?","[""Brazil""]","2018"
"visions-of-frank","Visions of Frank","en","Animations inspired by the art of Jim Woodring.","[""Japan"",""United States of America""]","2007"
"monsieur-clown-among-the-lilliputians","Monsieur Clown Among the Lilliputians","fr","Stop-motion film from Émile Cohl has a clown walk out in front of a group of people and do various tricks including standing on his head, riding a horse and falling face first off the horse.","[""France""]","1909"
"the-crater-lake-monster","The Crater Lake Monster","en","The heat of a meteor crashing into the lake incubates a prehistoric egg, which grows into a plesiosaur-like monster that terrifies the community.","[""United States of America""]","1977"
"lore-2017","Lore","en","A woman searches for her missing son in a remote wilderness with the help of her estranged husband and a Native American friend. When an evil creature starts to hunt them, their journey becomes a fight for survival.","[""United States of America""]","2017"
"love-games","Love Games","ko","I remember the games I played when I was young. We were happy playing together, but, looking back, I realize I used the games to satisfy my own desires. It was a child’s selfcentered behavior. But adult lovers, too, display immature sides in their relationships. Consumed by self-love, they act like children. I have tried to illustrate this kind of love through the metaphor of children’s games.","[]","2013"
"king-solomon-of-broadway","King Solomon of Broadway","en","An underworld character wins a Broadway nightclub in a card game.","[""United States of America""]","1935"
"water-and-salt","Water and Salt","pt","Ana lives in a little village by the sea, with her husband and daughter. He decides to leave for a few days. That seems to be the ideal solution, because Ana needs to finish a work she has been doing for a long time. But her concentration seems threatened when she starts doing her daily walks by the village and the beach: she saves a stranger from death in the sea, meets young Alexandre and Emilia, and her friend Vera turns up in her house. And then, everything changes…","[""Portugal"",""Italy""]","2001"
"necesito-dinero","Necesito dinero","es",NULL,"[""Mexico""]","1952"
"images","Images","en","Schizophrenic housewife, engulfed by terrorizing apparitions, kills off each, unknowing if these demons are merely figments of her hallucinatory imagination or part of reality.","[""United States of America"",""United Kingdom""]","1972"
"mamapara","Mother River","es","In a remote Peruvian city, lives Honorata Vilca, an illiterate woman of Quechua descent who sells candies more than 20 years ago, with the rain will cry to the sky itself.","[""Argentina"",""Bolivia"",""Peru""]","2020"
"90-miles-2001","90 Miles","en","Having grown up within the Cuban Revolution, in 1980, Juan Carlos Zaldívar was a 13-year-old ""pioneer"" jeering in the streets at the thousands of ""Marielitos"" leaving the island by boat for the United States. Within weeks, he was a Marielito himself, headed with the rest of his family for a new life in Miami. Now a U.S.-based filmmaker, Zaldívar recounts the strange twist of fate that took him across one of the world's most treacherous stretches of water in 90 Miles, a new documentary having its broadcast premiere on PBS's acclaimed P.O.V. series in the summer of 2003. As related by Zaldívar in the intensely personal and evocative 90 Miles, arrival in South Florida is only the beginning of the family's struggles to comprehend the full meaning of their passage into exile. What follows is an intimate and uneasy accounting of the historical forces that have split the Cuban national family in two, and which shape the passage of values from one generation to the next.","[""United States of America""]","2001"
"a-pencil-a-boy-and-a-dream","A Pencil, A Boy and a Dream","sr","Story about growing up, adulthood and premature end of the eternal boy. By drawing a parallel between his real life and his dreams, it depicts a man who actually lived his dreams, up until the biggest of them outgrew him and absorbed him permanently.","[""Serbia""]","2011"
"pineapple-1984","Pineapple","en","Documentary about the process canned pineapple takes from cultivation to sale.","[]","1984"
"trailer-town","Trailer Town","en","Trailer Town is a unique motion picture experience, truly unlike anything you've seen before. A sexual interpretation of inner violence, about out-of-work comedians living in a trailer park run by a soap opera star. The old comedians cannot work anymore due to their addictions, and come up with the filthiest, most offensive routines they can devise, to strike out at mainstream society, their only audience being themselves. When Bill recieves an eviction notice for having too many wild parties, he takes to the roof of his trailer with a rifle, and declares he is a victim of an 'aluminum holocaust.'","[]","2003"
"porky-in-the-north-woods","Porky in the North Woods","en","Porky runs a game refuge. Despite the abundant signs to the contrary, Jean-Baptiste the trapper sets numerous traps. Porky rescues the animals from the traps. Jean-Baptiste tracks him down and beats him up. The animals come to Porky's rescue.","[""United States of America""]","1936"
"oliver-twist-1985","Oliver Twist","en","Adaptation of the novel by Charles Dickens.","[""United Kingdom""]","1985"
"lucys-tale","Lucy's Tale","en","Lucy begins to realize she is not like the other teens in school.","[""United States of America""]","2018"
"julian-2012","Julian","en","In school, 9-year old Julian gets into trouble for squealing a bully and therefore disturbing class.","[""Australia""]","2012"
"mcbride-the-chameleon-murder","McBride: The Chameleon Murder","en","As a favor to a friend, defense attorney McBride takes on a client accused of murdering a woman. When McBride and his partner Phil investigate the deceased, they discover she had many identities and with each new life she was leading the list of suspects grows larger.","[""United States of America""]","2005"
"zafir","Zafir","da","No overview found.","[""Denmark""]","2003"
"the-next-few-months","The Next Few Months","en","The effects of cancer and its subsequent treatments on an individual, and his family.","[""South Africa""]","2019"
